FID,ogc_fid,bld_pid,dt_create,dt_mod,capt_date,bld_rv_dt,bld_src,qual_class,loc_pid,state,add_count,sp_adj,sp_rv_dt,solar_p,solp_rv_dt,plan_zone,roof_hgt,eave_hgt,grd_elev,grd_el_src,pr_rf_mat,roof_type,roof_clr,mb_code,num_vert,area,volume,bld_gm_qlt,cntrd_long,cntrd_lat,est_lev,roof_shape,tree_overh,wkb_geometry
geoscape_melbourne_buildings_jun22.2472861,2472861,bld8f2e7cbef39a,2022-03-11,2022-06-22,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,10,Yes,2021-04-04,No,2021-04-04,Special Use,79.14,79.14,27.74,5m,Flat Concrete,Moderate pitch or complexity,#E2E4DF,20393931000,20,743.06,23040.27,,144.97095,-37.8113,26,Hipped,No,"POLYGON ((-37.811585171000004 144.971016635, -37.811572982 144.971011119, -37.811536806 144.970994752, -37.811384227000005 144.97092568600002, -37.81132658 144.970899594, -37.811202448 144.970843414, -37.81123247 144.970738033, -37.81121891 144.970731906, -37.811172266 144.970895652, -37.811072203 144.97085036500002, -37.811141987 144.970605417, -37.81115905 144.97054550800001, -37.811141420000006 144.970537529, -37.811036185 144.97090691900002, -37.811031681 144.970922741, -37.811162925000005 144.97098214500002, -37.811164242000004 144.97097753100002, -37.811288374 144.97103371100002, -37.81129072 144.971025491, -37.811549301 144.97114252100002, -37.811585171000004 144.971016635))"
geoscape_melbourne_buildings_jun22.2472865,2472865,blde8bd4e3ddd09,2020-06-30,2022-03-26,2019-02-01,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,31,No,2021-04-04,No,2021-04-04,Special Use,22.01,22.01,28.3,5m,Flat Concrete,Flat,#F7F8F2,20393690000,11,515.33,11340.88,,144.97092,-37.80919,6,Flat,No,"POLYGON ((-37.808985011000004 144.97087743900002, -37.809220195 144.970986428, -37.809538755000005 144.971134072, -37.809558207 144.971067409, -37.809499268 144.971040092, -37.809488296000005 144.97107749, -37.809032352 144.970764067, -37.808978361 144.97073888600002, -37.808951702 144.970830293, -37.808941564 144.970825595, -37.808933421 144.970853533, -37.808985011000004 144.97087743900002))"
geoscape_melbourne_buildings_jun22.2472882,2472882,bld1e097a941d77,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,977,No,2021-04-04,No,2021-04-04,Special Use,39.71,39.71,23.7,5m,Flat Concrete,Moderate pitch or complexity,#B9BAB8,20393880000,26,754.03,28350.31,,144.9699,-37.81201,13,Hipped,No,"POLYGON ((-37.812178452000005 144.969712706, -37.812134619000005 144.96969287000002, -37.81204412 144.96965191200002, -37.812041179000005 144.969662238, -37.812015912 144.96965079900002, -37.81199782 144.969714304, -37.812014996 144.96972208, -37.81198794 144.969817045, -37.811970773000006 144.969809269, -37.811957024 144.96985753500002, -37.811947497000006 144.969853218, -37.811914475 144.969969134, -37.811897990000006 144.96996168, -37.811885193 144.97000656900002, -37.811859037000005 144.97009838600002, -37.811941789 144.97013583100002, -37.811961226 144.97014463600001, -37.811964914 144.970131688, -37.812004514 144.970149607, -37.812028452 144.970065575, -37.812057662 144.970078804, -37.812070105000004 144.970084426, -37.812079274000006 144.970052245, -37.81206683 144.97004661100001, -37.812155663000006 144.969734777, -37.812170286000004 144.96974139600002, -37.812178452000005 144.969712706))"
geoscape_melbourne_buildings_jun22.2473142,2473142,bld6a4cfb0a5983,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,20,No,2021-04-04,No,2021-04-04,Special Use,25.36,25.36,23.22,5m,Flat Concrete,Flat,#88877E,20393690000,15,984.66,16094.99,,144.96979,-37.8097,7,Flat,No,"POLYGON ((-37.809876927000005 144.96998662800002, -37.809935957 144.969785562, -37.809753852 144.96970062300002, -37.809503637 144.969583916, -37.809447697 144.969774435, -37.809458217 144.96977934900002, -37.80946575 144.969753665, -37.809649036 144.96983916300002, -37.809638405 144.969875371, -37.809620793 144.96993533900002, -37.809662502 144.969954801, -37.809706345 144.96997525, -37.809761417000004 144.970000935, -37.809764073000004 144.969991877, -37.80977902 144.969940955, -37.809876927000005 144.96998662800002))"
geoscape_melbourne_buildings_jun22.2473174,2473174,bldadad6727795f,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,91.82,91.82,24.61,5m,Flat Concrete,Flat,#535654,20664610000,11,14.6,1341.04,,144.96941,-37.80891,30,Flat,No,"POLYGON ((-37.808906809 144.96944878600002, -37.80891806 144.96944641000002, -37.808920544 144.969437846, -37.808933489000005 144.969393136, -37.808930581000006 144.969381811, -37.808920216000004 144.969377041, -37.808911549 144.96938084500002, -37.808906676 144.969397664, -37.808910018 144.969399197, -37.808904898 144.969416875, -37.808896971 144.969444262, -37.808906809 144.96944878600002))"
geoscape_melbourne_buildings_jun22.2473184,2473184,bldcf602b18889c,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,8,No,2021-04-04,No,2021-04-04,Special Use,19.99,19.99,33.93,5m,Flat Concrete,Flat,#50514D,20394030000,4,32,639.6,,144.97202,-37.8096,6,Flat,Yes,"POLYGON ((-37.809623142 144.972060626, -37.809639994 144.972001475, -37.809590975 144.97197928, -37.809574123000004 144.97203844400002, -37.809623142 144.972060626))"
geoscape_melbourne_buildings_jun22.2473242,2473242,bld2dc85abc5e25,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,977,No,2021-04-04,No,2021-04-04,Special Use,19.56,17.86,23.43,5m,Flat Concrete,Steep pitch or high complexity,#212729,20393880000,6,62.08,1214.25,,144.9698,-37.8116,6,Hipped,No,"POLYGON ((-37.81162735 144.969863965, -37.81165059 144.969782372, -37.811578492 144.969749747, -37.811563639 144.96980190600001, -37.811572340000005 144.96980584800002, -37.811563953000004 144.969835281, -37.81162735 144.969863965))"
geoscape_melbourne_buildings_jun22.2473274,2473274,bld1c07ad0552c2,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,977,No,2021-04-04,No,2021-04-04,Special Use,20.18,20.18,23.54,5m,Flat Concrete,Flat,#576A5A,20393880000,5,33.31,672.17,,144.96981,-37.81168,6,Flat,No,"POLYGON ((-37.811672136000006 144.96988424, -37.811682690000005 144.969847182, -37.811711411000005 144.969746367, -37.811689513000005 144.96973646, -37.811650238000006 144.969874333, -37.811672136000006 144.96988424))"
geoscape_melbourne_buildings_jun22.2473276,2473276,bldfd2ca8e337b2,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,986,No,2021-04-04,No,2021-04-04,Special Use,23.17,23.17,22.51,5m,Flat Concrete,Moderate pitch or complexity,#C9C9C3,20393902000,21,258.73,4407.81,,144.96959,-37.812,7,Hipped,No,"POLYGON ((-37.812136014000004 144.96956366700002, -37.81199655 144.969500548, -37.811967744 144.969601672, -37.811908643 144.96957492800001, -37.811855355000006 144.96955080700002, -37.811854462 144.96955391, -37.811820511 144.969538551, -37.811822933 144.969530045, -37.811829875 144.96950566, -37.811821110000004 144.969501686, -37.81181286 144.969530673, -37.811750907000004 144.969502643, -37.811743786 144.96952763500002, -37.812015912 144.96965079900002, -37.812041179000005 144.969662238, -37.81204412 144.96965191200002, -37.812134619000005 144.96969287000002, -37.812178452000005 144.969712706, -37.812184101 144.969715266, -37.812188053 144.969701391, -37.812107208 144.969664791, -37.812136014000004 144.96956366700002))"
geoscape_melbourne_buildings_jun22.2473284,2473284,bld5e5c7dcde83a,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,5,No,2021-04-04,No,2021-04-04,Special Use,10.73,9.06,32.55,5m,Metal,Moderate pitch or complexity,#E7E9E2,20394570000,4,152.13,1632.5,,144.97238,-37.81214,2,Hipped,No,"POLYGON ((-37.812155016000006 144.972491198, -37.812205551000005 144.97231567900002, -37.812127189 144.97227983800002, -37.812076654 144.972455357, -37.812155016000006 144.972491198))"
