FID,ogc_fid,bld_pid,dt_create,dt_mod,capt_date,bld_rv_dt,bld_src,qual_class,loc_pid,state,add_count,sp_adj,sp_rv_dt,solar_p,solp_rv_dt,plan_zone,roof_hgt,eave_hgt,grd_elev,grd_el_src,pr_rf_mat,roof_type,roof_clr,mb_code,num_vert,area,volume,bld_gm_qlt,cntrd_long,cntrd_lat,est_lev,roof_shape,tree_overh,wkb_geometry
geoscape_melbourne_buildings_jun22.2458729,2458729,bld144d516c16af,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,12.68,12.68,28.51,5m,Flat Concrete,Flat,#484745,20664610000,7,186.28,2362.87,,144.96984,-37.80846,4,Flat,No,"POLYGON ((-37.808496369000004 144.96995374300002, -37.808525263 144.969854018, -37.808507858000006 144.96984601, -37.808494356000004 144.96981868700001, -37.808513834 144.969751445, -37.80844367 144.969719166, -37.808389915 144.969904761, -37.808496369000004 144.96995374300002))"
geoscape_melbourne_buildings_jun22.2458763,2458763,bld801cf07d1aed,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,42,No,2021-04-04,No,2021-04-04,Special Use,20.55,18.85,30.62,5m,Flat Concrete,Moderate pitch or complexity,#DCDCDC,20394000000,5,61.8,1269.99,,144.97193,-37.81062,6,Hipped,No,"POLYGON ((-37.810599278000005 144.972021844, -37.810618588000004 144.972030573, -37.810669279 144.971852645, -37.810637798 144.971838399, -37.810587108 144.972016327, -37.810599278000005 144.972021844))"
geoscape_melbourne_buildings_jun22.2458894,2458894,blde9267a4026c2,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,173,No,2021-04-04,No,2021-04-04,Special Use,39.05,39.05,28.98,5m,Flat Concrete,Flat,#EEE8DA,20394010000,8,68.22,2642.44,,144.97155,-37.81095,13,Flat,No,"POLYGON ((-37.810994667 144.97149376000002, -37.810955699000004 144.971465429, -37.810944022 144.971506414, -37.810919548 144.971592321, -37.810912079000005 144.971618538, -37.81095375 144.971637401, -37.810961219 144.971611184, -37.810985693 144.971525265, -37.810994667 144.97149376000002))"
geoscape_melbourne_buildings_jun22.2458967,2458967,bld5b2ecad3aa9b,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,63,No,2021-04-04,No,2021-04-04,Special Use,31.2,31.2,27.85,5m,Flat Concrete,Flat,#BAAE92,20394060000,4,12.07,376.45,,144.97091,-37.81003,10,Flat,No,"POLYGON ((-37.810040077000004 144.970942482, -37.810055680000005 144.970887748, -37.810035698 144.97087869700002, -37.810020104 144.970933441, -37.810040077000004 144.970942482))"
geoscape_melbourne_buildings_jun22.2459001,2459001,bld4047ca627c0d,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,30.31,30.31,32.12,5m,Flat Concrete,Flat,#D6D6CB,20394000000,4,346.75,10510.17,,144.97235,-37.81084,10,Flat,No,"POLYGON ((-37.81087569 144.972498741, -37.810943174 144.972261855, -37.810810514 144.97220180600002, -37.810743030000005 144.972438691, -37.81087569 144.972498741))"
geoscape_melbourne_buildings_jun22.2459095,2459095,bldb2db565e0fda,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,18,No,2021-04-04,No,2021-04-04,Special Use,18.06,16.46,26.36,5m,Flat Concrete,Moderate pitch or complexity,#EDEFE4,20394050000,4,135.74,2451.48,,144.97049,-37.81009,5,Hipped,No,"POLYGON ((-37.810119991 144.970578367, -37.810156828000004 144.97044906000002, -37.810061688000005 144.970406002, -37.810024851 144.970535309, -37.810119991 144.970578367))"
geoscape_melbourne_buildings_jun22.2459106,2459106,bld9d49c4447d88,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,245,No,2021-04-04,No,2021-04-04,Special Use,66.11,66.11,33.11,5m,Flat Concrete,Flat,#323437,20393700000,6,21.47,1419.58,,144.9712,-37.8084,22,Flat,No,"POLYGON ((-37.808456116 144.971240241, -37.808459544 144.971228413, -37.808427324 144.97121359800002, -37.808431466 144.971199286, -37.808371849000004 144.971171851, -37.808364279 144.971197979, -37.808456116 144.971240241))"
geoscape_melbourne_buildings_jun22.2459127,2459127,blda113a57b4658,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,15.89,14.59,22.84,5m,Flat Concrete,Moderate pitch or complexity,#D6DAD2,20393843000,5,175.4,2786.64,,144.96973,-37.81079,5,Hipped,No,"POLYGON ((-37.810847283 144.969823278, -37.810880675 144.969709534, -37.810741913 144.969644807, -37.810738066 144.969657896, -37.810708512000005 144.96975855000002, -37.810847283 144.969823278))"
geoscape_melbourne_buildings_jun22.2459137,2459137,bld1a0db8ae9935,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,0,No,2021-04-04,No,2021-04-04,,9.53,9.53,22.98,5m,Flat Concrete,Flat,#E5E5DF,20393843000,9,211.78,2017.94,,144.96983,-37.81083,3,Flat,No,"POLYGON ((-37.811102741 144.96998119, -37.811112751 144.9699471, -37.811054817000006 144.969920085, -37.810847283 144.969823278, -37.810708512000005 144.96975855000002, -37.81057939 144.96969833, -37.810570972 144.969727014, -37.810562795 144.969723206, -37.81056031 144.96973168, -37.811102741 144.96998119))"
geoscape_melbourne_buildings_jun22.2459140,2459140,bldbeff61937236,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,13,No,2021-04-04,No,2021-04-04,Special Use,21.34,21.34,21.22,5m,Flat Concrete,Flat,#353431,20393841000,4,14.34,306.01,,144.96925,-37.81059,6,Flat,No,"POLYGON ((-37.810609333 144.969284783, -37.810621156 144.96924451, -37.810589104 144.969229565, -37.810577282000004 144.969269838, -37.810609333 144.969284783))"
geoscape_melbourne_buildings_jun22.2459184,2459184,bldd32db75b21ac,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,245,No,2021-04-04,No,2021-04-04,Special Use,67.52,67.52,33.93,5m,Flat Concrete,Flat,#313535,20393700000,5,12.49,843.42,,144.97108,-37.80813,22,Flat,No,"POLYGON ((-37.808176099 144.97111138600002, -37.80818008 144.97109764700002, -37.808134225 144.971076549, -37.808097998 144.971059878, -37.808094018000006 144.971073617, -37.808176099 144.97111138600002))"
geoscape_melbourne_buildings_jun22.2459208,2459208,bld155b069985c5,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,0,No,2021-04-04,No,2021-04-04,,8.02,6.32,25.63,5m,Flat Concrete,Moderate pitch or complexity,#303129,20394050000,5,58.64,470.36,,144.97043,-37.81002,2,Hipped,No,"POLYGON ((-37.810005719 144.970555745, -37.810007954 144.970547892, -37.810071703000006 144.970324104, -37.810048761000004 144.970313725, -37.809982768000005 144.970545367, -37.810005719 144.970555745))"
geoscape_melbourne_buildings_jun22.2459403,2459403,bldf5c94745cebd,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,5,Yes,2021-04-04,No,2021-04-04,Special Use,80.12,80.12,25.39,5m,Flat Concrete,Flat,#283136,20393931000,18,1679.9,43413.44,,144.97045,-37.81121,26,Flat,Yes,"POLYGON ((-37.811507427 144.970493213, -37.811325647000004 144.970410942, -37.811194403 144.970351539, -37.811103577000004 144.970310442, -37.810945368000006 144.97086582100002, -37.811036185 144.97090691900002, -37.811141420000006 144.970537529, -37.81115905 144.97054550800001, -37.811141987 144.970605417, -37.811145665000005 144.970607077, -37.811169467 144.970523539, -37.811265471000006 144.970566993, -37.811241668 144.970650532, -37.811255601 144.97065683, -37.81123247 144.970738033, -37.811202448 144.970843414, -37.81132658 144.970899594, -37.811384227000005 144.97092568600002, -37.811507427 144.970493213))"
geoscape_melbourne_buildings_jun22.2459497,2459497,bld544bd86e8dfa,2020-06-30,2022-03-26,2017-01-06,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,34,No,2021-04-04,No,2021-04-04,Special Use,34.57,32.87,31.11,5m,Flat Concrete,Moderate pitch or complexity,#DBDBCA,20394030000,7,162.48,5444.1,,144.97182,-37.81046,11,Hipped,No,"POLYGON ((-37.810544505 144.97179164300002, -37.810436313000004 144.97174267100002, -37.810420643 144.971797691, -37.810390462 144.971784023, -37.810372395 144.971847434, -37.810402576 144.97186109100002, -37.810510768 144.971910063, -37.810544505 144.97179164300002))"
geoscape_melbourne_buildings_jun22.2459507,2459507,bld004931f7ceb8,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,4,No,2021-04-04,No,2021-04-04,Special Use,12.82,12.82,32.4,5m,Metal,Flat,#D9DBC6,20394570000,15,329.85,3854.31,,144.97243,-37.81178,4,Flat,Yes,"POLYGON ((-37.811898528 144.97244649700002, -37.811917006 144.972382323, -37.811859527 144.97235603200002, -37.811801221 144.972329354, -37.811716519 144.972290608, -37.811682004000005 144.972410505, -37.811664411 144.972471598, -37.811864898 144.972563314, -37.811882483000005 144.97250222, -37.811898528 144.97244649700002), (-37.811805664000005 144.972350826, -37.811885179 144.972387192, -37.81186177 144.972468494, -37.811782254 144.97243211600002, -37.811785732000004 144.972420037, -37.81179989 144.972370863, -37.811805664000005 144.972350826))"
geoscape_melbourne_buildings_jun22.2459551,2459551,bld4a789644736c,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,977,No,2021-04-04,No,2021-04-04,Special Use,69.29,69.29,22.2,5m,Flat Concrete,Flat,#E8E9E0,20393880000,4,17.83,1235.54,,144.96965,-37.81191,23,Flat,No,"POLYGON ((-37.811923688 144.969680758, -37.811935678000005 144.96963868400002, -37.811897268 144.96962130100002, -37.811885277 144.96966337400002, -37.811923688 144.969680758))"
geoscape_melbourne_buildings_jun22.2459708,2459708,bldd972d2987ceb,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,977,No,2021-04-04,No,2021-04-04,Special Use,18.55,16.85,24.12,5m,Flat Concrete,Moderate pitch or complexity,#B9B9B2,20393880000,9,152.56,2829.56,,144.96992,-37.81179,5,Hipped,No,"POLYGON ((-37.811697904 144.96989590500002, -37.811691369 144.969918847, -37.811885193 144.97000656900002, -37.811897990000006 144.96996168, -37.811907652 144.969927747, -37.811841721 144.969897895, -37.81183635 144.96991672800002, -37.811682690000005 144.969847182, -37.811672136000006 144.96988424, -37.811697904 144.96989590500002))"
geoscape_melbourne_buildings_jun22.2459720,2459720,bld1eaaec157745,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,13.27,12,28.53,5m,Flat Concrete,Moderate pitch or complexity,#262B35,20393931000,13,622.11,7715.28,,144.97092,-37.81172,4,Gabled,Yes,"POLYGON ((-37.811651734 144.97073803700002, -37.811611795000005 144.970878234, -37.811619597 144.970881757, -37.811606306 144.97092841, -37.811597660000004 144.9709245, -37.811583774 144.97097322500002, -37.811623056 144.970990994, -37.811612255 144.97102890000002, -37.811665034 144.971052785, -37.811786514000005 144.97110776600002, -37.811812092000004 144.97101795400002, -37.811824473 144.970974496, -37.811864413 144.970834298, -37.811651734 144.97073803700002))"
geoscape_melbourne_buildings_jun22.2459737,2459737,bld3b3c38d51489,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,226,No,2021-04-04,No,2021-04-04,Special Use,23.94,23.94,23.23,5m,Flat Concrete,Flat,#383C3C,20631945420,4,14.25,341.24,,144.96881,-37.80953,7,Flat,No,"POLYGON ((-37.809533014 144.968860115, -37.809555102000004 144.96878488200002, -37.80953805 144.96877693300002, -37.809515971 144.96885215400002, -37.809533014 144.968860115))"
geoscape_melbourne_buildings_jun22.2459971,2459971,bld723a9232b60b,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,5,No,2021-04-04,No,2021-04-04,Special Use,24.48,24.48,27.66,5m,Flat Concrete,Flat,#EBEAE3,20393932000,4,12.38,303.1,,144.97115,-37.81088,7,Flat,No,"POLYGON ((-37.810893251 144.971176417, -37.810904519000005 144.971136863, -37.810876145 144.97112402000002, -37.810864886000005 144.971163574, -37.810893251 144.971176417))"
geoscape_melbourne_buildings_jun22.2460110,2460110,bld5cb7b03e4a9e,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,6,No,2021-04-04,No,2021-04-04,Special Use,14.02,13.18,32.74,5m,Flat Concrete,Moderate pitch or complexity,#181D21,20394000000,15,293.16,4088.47,,144.97254,-37.81122,4,Hipped,Yes,"POLYGON ((-37.811344670000004 144.972615348, -37.811371346 144.97252172400002, -37.811235807 144.972460367, -37.811162502 144.97242719300002, -37.811135222000004 144.972522935, -37.811187147000005 144.97254643600002, -37.811174901 144.972589413, -37.811122985000004 144.97256591200002, -37.811081727 144.97271074300002, -37.811078795 144.97272101200002, -37.811099312 144.972730299, -37.811128596 144.972627483, -37.811181393000005 144.97265138100002, -37.811209131000005 144.972553991, -37.811284516 144.972588118, -37.811344670000004 144.972615348))"
geoscape_melbourne_buildings_jun22.2460113,2460113,bldf83ee0cbc5cc,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,27,No,2021-04-04,No,2021-04-04,Special Use,78.67,78.67,31.01,5m,Flat Concrete,Flat,#CDC8B5,20393690000,6,26.96,2120.54,,144.97147,-37.80875,26,Flat,No,"POLYGON ((-37.808750505 144.971535323, -37.808768493 144.971473664, -37.808775701 144.971448955, -37.808781214 144.971430039, -37.80875814 144.971419346, -37.808727430000005 144.97152462900002, -37.808750505 144.971535323))"
geoscape_melbourne_buildings_jun22.2460501,2460501,blda046f9ff4c54,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,0,No,2021-04-04,No,2021-04-04,,17.82,17.82,30.37,5m,Flat Concrete,Flat,#282829,20394000000,6,102.21,1821.17,,144.97188,-37.81077,5,Flat,No,"POLYGON ((-37.810669279 144.971852645, -37.810867034000005 144.97194215000002, -37.810906561 144.971960037, -37.810916376 144.971925578, -37.810647622000005 144.971803929, -37.810637798 144.971838399, -37.810669279 144.971852645))"
geoscape_melbourne_buildings_jun22.2460532,2460532,bld389d11207e05,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,4,No,2021-04-04,No,2021-04-04,Special Use,16.65,16.65,32.2,5m,Flat Concrete,Flat,#343531,20394000000,4,21.02,350.01,,144.97222,-37.81099,5,Flat,No,"POLYGON ((-37.811000767 144.972272785, -37.811022667 144.97219593300002, -37.81099788 144.972184707, -37.81097599 144.972261559, -37.811000767 144.972272785))"
geoscape_melbourne_buildings_jun22.2460549,2460549,bldbc446fb89443,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,7,No,2021-04-04,No,2021-04-04,Special Use,9.26,9.26,31.9,5m,Metal,Steep pitch or high complexity,#7D8782,20394570000,11,200.17,2023.54,,144.97221,-37.81186,2,Hipped,Yes,"POLYGON ((-37.811966905000006 144.972206516, -37.811910061 144.97218050200001, -37.811767062 144.97211509000002, -37.811745345000006 144.97219050700002, -37.811888344 144.97225593000002, -37.811875546 144.972300365, -37.81191792 144.972319755, -37.811943580000005 144.972331491, -37.811953444000004 144.972297246, -37.811956378000005 144.972287045, -37.811945196 144.97228193200002, -37.811966905000006 144.972206516))"
geoscape_melbourne_buildings_jun22.2460557,2460557,bld495b813a5e75,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,20,No,2021-04-04,No,2021-04-04,Special Use,13.3,13.3,23.8,5m,Flat Concrete,Flat,#928E85,20393690000,8,224.48,2985.83,,144.96957,-37.80926,4,Flat,No,"POLYGON ((-37.809287277 144.96969961300002, -37.80930362 144.96964395100002, -37.809307501 144.969630725, -37.809347396 144.96949485000002, -37.809248744 144.969448835, -37.809225762000004 144.969527101, -37.809213683 144.96956824400002, -37.809188624 144.969653598, -37.809287277 144.96969961300002))"
geoscape_melbourne_buildings_jun22.2460607,2460607,bld61bf0a5980b7,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,977,No,2021-04-04,No,2021-04-04,Special Use,20.26,20.26,23.23,5m,Flat Concrete,Flat,#E2D9C0,20393890000,4,44.68,905.38,,144.96986,-37.81147,6,Flat,No,"POLYGON ((-37.811532060000005 144.969908433, -37.81154094 144.96987725900001, -37.811411049 144.969818467, -37.811402169000004 144.96984965200002, -37.811532060000005 144.969908433))"
geoscape_melbourne_buildings_jun22.2460648,2460648,bldaa261d27c5ef,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,9,No,2021-04-04,No,2021-04-04,Special Use,16.44,15.69,22.99,5m,Flat Concrete,Steep pitch or high complexity,#C9C8C1,20393902000,13,351.42,5031.9,,144.96953,-37.81211,5,Hipped,Yes,"POLYGON ((-37.812243774 144.96954054, -37.812235664 144.969515454, -37.812163911 144.96948296800002, -37.811973529 144.969396811, -37.811957519 144.969403327, -37.811941451 144.96945975600002, -37.812000552 144.969486501, -37.81199655 144.969500548, -37.812136014000004 144.96956366700002, -37.812107208 144.969664791, -37.812188053 144.969701391, -37.812196817 144.969705354, -37.812225632 144.969604217, -37.812243774 144.96954054))"
geoscape_melbourne_buildings_jun22.2460658,2460658,bld829398fe9c6e,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,63,No,2021-04-04,No,2021-04-04,Special Use,28.16,28.16,27.93,5m,Flat Concrete,Flat,#3A3C35,20394060000,4,13.62,383.63,,144.97095,-37.80993,8,Flat,No,"POLYGON ((-37.80993667 144.970986602, -37.809951252000005 144.970935406, -37.809927138 144.970924491, -37.809912556 144.97097568700002, -37.80993667 144.970986602))"
geoscape_melbourne_buildings_jun22.2460707,2460707,bld8153164b04b7,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,4.6,4.6,32.43,5m,Metal,Moderate pitch or complexity,#474A46,20394570000,13,124.54,670.78,,144.9723,-37.81197,1,Hipped,No,"POLYGON ((-37.812041186 144.97226446000002, -37.8120144 144.972252209, -37.812020496 144.972231028, -37.811966905000006 144.972206516, -37.811945196 144.97228193200002, -37.811956378000005 144.972287045, -37.811953444000004 144.972297246, -37.811943580000005 144.972331491, -37.81191792 144.972319755, -37.811906211 144.972360434, -37.811974273000004 144.97239157, -37.811986841 144.972347937, -37.812013627 144.97236018700002, -37.812041186 144.97226446000002))"
geoscape_melbourne_buildings_jun22.2460805,2460805,bld7506cd8e958a,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,6,No,2021-04-04,No,2021-04-04,Special Use,11.01,10.79,19.63,5m,Flat Concrete,Moderate pitch or complexity,#C5C7C0,20393902000,7,89.9,989.47,,144.96902,-37.81155,2,Hipped,No,"POLYGON ((-37.811568472000005 144.969068897, -37.811573911 144.969050358, -37.811639595 144.96908100000002, -37.811650906000004 144.96904245500002, -37.811576138 144.96900758700002, -37.811487815 144.968966388, -37.811471055000005 144.96902345, -37.811568472000005 144.969068897))"
geoscape_melbourne_buildings_jun22.2460836,2460836,bld60248d7fa3ee,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,6,No,2021-04-04,No,2021-04-04,Special Use,9.8,9.8,19.93,5m,Flat Concrete,Flat,#C8CAC5,20393902000,4,13.53,132.56,,144.96907,-37.8116,2,Flat,No,"POLYGON ((-37.811634156000004 144.96909952800002, -37.811639595 144.96908100000002, -37.811573911 144.969050358, -37.811568472000005 144.969068897, -37.811634156000004 144.96909952800002))"
geoscape_melbourne_buildings_jun22.2460853,2460853,bld632f0ccd66eb,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,4,No,2021-04-04,No,2021-04-04,Special Use,17.54,17.54,32.73,5m,Flat Concrete,Flat,#504C52,20394000000,4,24.62,431.76,,144.97255,-37.81115,5,Flat,No,"POLYGON ((-37.811174901 144.972589413, -37.811187147000005 144.97254643600002, -37.811135222000004 144.972522935, -37.811122985000004 144.97256591200002, -37.811174901 144.972589413))"
geoscape_melbourne_buildings_jun22.2460966,2460966,bld8cb5aa12605c,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,18.01,18.01,21.47,5m,Flat Concrete,Flat,#33373C,20393843000,5,51.82,933.48,,144.96947,-37.81113,5,Flat,No,"POLYGON ((-37.811176801 144.969504594, -37.811222334 144.96952583700002, -37.811229909000005 144.96950002600002, -37.811049212 144.96941574000002, -37.811041636000006 144.96944155100002, -37.811176801 144.969504594))"
geoscape_melbourne_buildings_jun22.2461116,2461116,bld0a26548b4053,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,8,No,2021-04-04,No,2021-04-04,Special Use,10.17,10.17,22.77,5m,Flat Concrete,Steep pitch or high complexity,#AEB1AB,20393843000,10,147.6,1602.24,,144.96956,-37.81059,2,Hipped,No,"POLYGON ((-37.810608943000005 144.96959766400002, -37.81065609 144.969437086, -37.810599746 144.96941080000002, -37.810570346000006 144.96951096200002, -37.810586426 144.969518462, -37.810539134 144.969679543, -37.810530708 144.969708239, -37.810562795 144.969723206, -37.810570972 144.969727014, -37.81057939 144.96969833, -37.810608943000005 144.96959766400002))"
geoscape_melbourne_buildings_jun22.2461141,2461141,bld5885828f07e7,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,2,No,2021-04-04,No,2021-04-04,Special Use,35.63,35.63,33.91,5m,Metal,Flat,#969287,20394570000,14,119.93,3474.91,,144.97314,-37.81203,12,Flat,No,"POLYGON ((-37.81217197 144.973159823, -37.812120204 144.97313614700002, -37.812107492 144.973180318, -37.812032573 144.97314604000002, -37.812045107 144.973102533, -37.811995322 144.973079756, -37.811982797 144.973123275, -37.811845366 144.973060401, -37.811839508000006 144.97308075700002, -37.811976929000004 144.97314363200002, -37.812026715 144.973166408, -37.812101624 144.97320067500002, -37.81215339 144.97322435200002, -37.812159249000004 144.973203995, -37.81217197 144.973159823))"
geoscape_melbourne_buildings_jun22.2461219,2461219,bld74fa2c7ccfec,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,8,No,2021-04-04,No,2021-04-04,Special Use,16.66,16.66,33.29,5m,Flat Concrete,Flat,#414647,20394030000,4,32.14,535.48,,144.97218,-37.80996,5,Flat,No,"POLYGON ((-37.809981349000005 144.972222753, -37.809998099000005 144.972163967, -37.809948563 144.972141537, -37.809931804 144.972200334, -37.809981349000005 144.972222753))"
geoscape_melbourne_buildings_jun22.2461361,2461361,bldddce6be2f001,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,20,No,2021-04-04,No,2021-04-04,Special Use,12.28,11.04,24.06,5m,Flat Concrete,Steep pitch or high complexity,#576A76,20393690000,10,207.8,2526.73,,144.9695,-37.80917,4,Hipped,No,"POLYGON ((-37.809225762000004 144.969527101, -37.809248744 144.969448835, -37.809138172000004 144.96939726300002, -37.809119184000004 144.969406665, -37.809088839000005 144.969510009, -37.809150362000004 144.96953870800002, -37.809167914 144.96954689400002, -37.809142855000005 144.969632248, -37.809188624 144.969653598, -37.809213683 144.96956824400002, -37.809225762000004 144.969527101))"
geoscape_melbourne_buildings_jun22.2461438,2461438,bldb619cf616626,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,20,No,2021-04-04,No,2021-04-04,Special Use,13.1,11.4,23.51,5m,Flat Concrete,Moderate pitch or complexity,#42484D,20393690000,7,116.82,1530.85,,144.96966,-37.80945,4,Hipped,No,"POLYGON ((-37.809447697 144.969774435, -37.809503637 144.969583916, -37.809507816 144.96956967100002, -37.809456478 144.96954572500002, -37.809416583 144.96968161200002, -37.809412701 144.96969482600002, -37.809396358 144.9697505, -37.809447697 144.969774435))"
geoscape_melbourne_buildings_jun22.2461601,2461601,bldc8b7ca5c29da,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,31,No,2021-04-04,No,2021-04-04,Special Use,6.73,6.73,29.15,5m,Flat Concrete,Flat,#61645E,20393690000,8,126.01,848.21,,144.97083,-37.80891,2,Flat,No,"POLYGON ((-37.808890689 144.970966075, -37.808924700000006 144.97084949, -37.808933421 144.970853533, -37.808941564 144.970825595, -37.808951702 144.970830293, -37.808978361 144.97073888600002, -37.808919973 144.97071164500002, -37.808850709000005 144.970947553, -37.808890689 144.970966075))"
geoscape_melbourne_buildings_jun22.2461656,2461656,bld2ba7a55bb7ae,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,31,No,2021-04-04,No,2021-04-04,Special Use,153.03,153.03,27.45,5m,Flat Concrete,Flat,#383A34,20393690000,21,902.19,91422.24,,144.97057,-37.80939,51,Flat,No,"POLYGON ((-37.809679116000005 144.97053701800002, -37.809671194 144.970533327, -37.809621246 144.97051002400002, -37.809612308000005 144.97054046, -37.809509114 144.97049231900002, -37.809495758000004 144.970537801, -37.809365073 144.970476839, -37.809351931 144.970521623, -37.809326911 144.97050995, -37.809264217 144.97048070300002, -37.809126055 144.970416265, -37.809085273 144.970397243, -37.809064972 144.970466394, -37.809052178 144.970509953, -37.809099592 144.970532076, -37.809234538000005 144.97059502300002, -37.809445505 144.970693418, -37.809452451000006 144.970669761, -37.80949753 144.970690789, -37.809506869 144.970695145, -37.809617531 144.97074676300002, -37.809679116000005 144.97053701800002))"
geoscape_melbourne_buildings_jun22.2461747,2461747,bld3c632c015ab5,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,19.86,19.86,22.12,5m,Flat Concrete,Steep pitch or high complexity,#EFEEE9,20393843000,10,963.31,19654.68,,144.96964,-37.81106,6,Hipped,No,"POLYGON ((-37.811234726 144.96953162, -37.811222334 144.96952583700002, -37.811176801 144.969504594, -37.811041636000006 144.96944155100002, -37.811010212 144.96942689600002, -37.810969267000004 144.96940779800002, -37.810880675 144.969709534, -37.811088218 144.96980633, -37.811054817000006 144.969920085, -37.811112751 144.9699471, -37.811234726 144.96953162))"
geoscape_melbourne_buildings_jun22.2461845,2461845,bldb4f4eac38ee0,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,1,No,2021-04-04,No,2021-04-04,Special Use,9.4,9.4,27.39,5m,Flat Concrete,Flat,#2F353B,20394050000,4,92.07,865.05,,144.97104,-37.8103,2,Flat,No,"POLYGON ((-37.810305117000006 144.97113622100002, -37.810351719 144.97097265000002, -37.810300702 144.970949557, -37.810254109 144.971113139, -37.810305117000006 144.97113622100002))"
